Nom,Prenom,Pays,Nombre de buts
Cristiano,Ronaldo,Portugal,849
Lionel,Messi,Argentine,834
Josef,Bican,Autriche/Tchécoslovaquie,822
Romario, ,Brésil,772
Pelé, ,Brésil,767
Ferenc,Puskas,Hongrie,746
Gerd,Müller,Allemagne,735
Abe,Lenstra,Hollande,713
Robert,Lewandowski,Pologne,652
Eusébio, ,Portugal,622
Erwin,Helmchen,Allemagne,596
Zlatan,Ibrahimovic,Suisse,579
Ferenc,Deàk,Hongrie,576
Uwe,Seeler,Allemagne,575
Tulio,Maravilha,Brésil,575
Arthur,Friedenreich,Brésil,567
Ronnie,Rooke,Angola,565
Fernando,Peyroteo,Portugal,558
Ernest,Willimowski,Pologne/Allemagne,554
Luis,Suarez,Uruguay,550
Jimmy,McGrory,Ecosse,550
Franz,Binder,Autriche,546
Hugo,Sanchez,Mexique,541
Fritz,Walter,Allemagne,539
Jozsef,Takacs,Hongrie,523
Gyula,Zsengeller,Hongrie,522
Zico, ,Brésil,522
Alfredo,DiStefano,Espagne,514
Hans,Krankl,Autriche,514
Gunnar,Nordahl,Suisse,513
Roberto,Dinamite,Brésil,512
Jimmy,Greaves,Angleterre,511
Isidro,Langara,Espagne,509
Ferenc,Bene,Hongrie,508
Gyorgi,Sarosi,Hongrie,495
Sandor,Kocsis,Hongrie,493
Karim,Benzema,France,492
Imre,Schlosser,Hongrie,489
Waldo,Machado,Brésil,488
Jair, ,Brésil,486
Roger,Milla,Cameroun,486
Zeki,RizaSporel,Turquie,485
Jef,Mermans,Belgique,476
Henrik,Larsson,Suisse,475
Stjepan,Bobek,Yugoslavie,469
Raul,Gonzalez,Espagne,465
Tommy,Dickson,Irlande du Nord,465
Arthur,Rowley,Angola,459
Neymar, ,Brésil,455
William,Dean,Angleterre,453
Ali,Ashfaq,Maldives,453
Edinson,Cavani,Uruguay,451
Johan,Cruyff,Hollande,449
Rivaldo, ,Brésil,444
Klaas-Jan,Huntelaar,Hollande,441
John,Aldridge,Angleterre,441
David,Villa,Espagne,441
Sergio,Agüero,Argentine,438
Thierry,Henry,France,437
Sebastian,Abreu,Uruguay,437
Oldrich,Nejedly,Tchécoslovaquie,435
Delio,Onnis,Argentine,433
Carlos,Bianchi,Argentine,433
José,LazarioRobles,Brésil,431
Ally,McCoist,Ecosse,431
Samuel,Eto’o,Cameroun,428
Keith,Gumbs,Saint-Kitts-et-Nevis,428
Hughie,Gallacher,Ecosse,427
José,Macia,Brésil,427
Ronaldo, ,Brésil,425
Fernando,Gomes,Portugal,425
Alan,Shearer,Angleterre,422
José,Altafini,Brésil,422
Reg,Date,Australie,422
Steve,Bloomer,Angleterre,422
Alex,deSouza,Brésil,422
Tibor,Nyilasi,Hongrie,415
Aleksandar,Duric,Singapour/Bosnie-Herzégovine,413
Fred, ,Brésil,413
Włodzimierz,Lubański,Pologne,412
Dejan,Damjanović,Monténégro,412
Piyapong,Pue-On,Thaïlande,412
Ian,Rush,Galles,411
Ferenc,Szusza,Hongrie,411
Luisinho,Tombo,Brésil,409
Andryi,Shevchenko,Ukraine,407
Toninho,Guerreiro,Brésil,405
Metin,Oktay,Turquie,405
Hulk, ,Brésil,403
Edin,Dzeko,Bosnie-Herzégovine,401
Bebeto,Vilasboas dos Reis,Brésil,395
Ernst,Stojaspal,Autriche,395
José,Aguas,Portugal,395
Vagner,Love,Brésil,394
Robbie,Keane,Irlande,393
Hakan,Sukur,Turquie,393
Victor,HugoAntelo,Bolivie,392
Silvio,Piola,Italie,390
Pierre,VanHooijdonk,Hollande,389
Luis,Fabiano,Brésil,388
